15.73827,-1,-0.07792494,0.03609613,-0.1496706,-1.601089,-0.01730512,0.01646218,-1.60564,-0.0009968336,-0.002045962,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,749,774,759,763
15.73677,-1,-0.07792494,0.03609613,-0.1496706,-1.567878,-0.02197958,0.0348759,-1.605176,-0.003241222,6.729442e-05,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,794.5,806.5,730.5,712.5
15.73527,-1,0.2367342,0.0251864,1.281758,-1.522999,-0.002058801,0.0612714,-1.603514,-0.00905584,0.00717645,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,840,839,702,662
15.73377,-1,0.2367342,0.0251864,1.281758,-1.477258,0.01755312,0.09014057,-1.599068,-0.01036757,0.02031032,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,859.2708,852.0208,676.4792,646.8958
15.73227,-1,0.2367342,0.0251864,1.281758,-1.44401,0.03198982,0.1009346,-1.59048,-0.004455917,0.03920281,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,877.3077,864.1923,651.9615,633.0385
15.73077,-1,-0.03071699,-0.05579669,-0.04255104,-1.410799,0.04637711,0.1031559,-1.576729,0.007866219,0.0613043,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,881.1539,866.5961,638.9808,633.5192
15.72927,-1,-0.03071699,-0.05579669,-0.04255104,-1.365919,0.06540772,0.1088923,-1.557194,0.02465585,0.08155496,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,885,869,626,634
15.72777,-1,-0.09340072,-0.003100238,-0.08055687,-1.320179,0.08468617,0.1161888,-1.531946,0.04344957,0.09658182,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,878.5,867,632.5,638
15.72627,-1,-0.09340072,-0.003100238,-0.08055687,-1.28693,0.09634022,0.1190545,-1.50142,0.06240319,0.1057703,-0.0006494403,2.842293e-05,-0.0003394486,0.04305421,-0.01487298,-0.0007238467,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,872,865,639,642
15.72478,-1,-0.09340072,-0.003100238,-0.08055687,-1.253719,0.1064057,0.1233719,-1.465801,0.0806471,0.1103857,-0.0006520636,3.134245e-05,-0.0003397954,0.04305067,-0.01487443,-0.0007069036,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,864.5,861,651,649.5
15.72327,-1,-0.1107792,-0.1859406,0.421586,-1.208839,0.122405,0.1363106,-1.425838,0.09762065,0.11251,-0.0006546869,3.426196e-05,-0.0003401421,0.04304714,-0.01487587,-0.0006899606,-0.05325949,0.4180453,0.8050288,-0.03293302,-0.03974096,-9.650039,857,857,663,657
15.72178,-1,-0.1107792,-0.1859406,0.421586,-1.163099,0.1380097,0.152641,-1.382082,0.1131429,0.1140927,-0.0006573102,3.718147e-05,-0.0003404889,0.04304361,-0.01487732,-0.0006730175,-0.05092849,0.3976673,0.8090856,-0.03312376,-0.05382387,-9.665313,848.6667,849.1875,678.625,667.4167
